state,City,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Station Name,Operator,Usage Type,Connector Type,Power (kW),station_id,location,charging_type,num_chargers,voltage_level,current_flow,power_consumed,power_loss,voltage_fluctuation
Himachal Pradesh,Shimla,39143,23861,33946,45083,17047,5078,6484,44629,Charge Point,ChargeZone,Public,GB/T,270,823,Urban,Ultra Fast,22,531.52,61.46,32.67,0.38,4.27
Lakshadweep,Kavaratti,48865,40285,17262,42401,29912,28352,36733,40165,EV Hub,Fortum,Commercial,CHAdeMO,62,824,Urban,Fast,15,296.58,44.92,13.32,0.87,5.29
Tamil Nadu,Chennai,44128,27744,7049,33953,19645,32558,2191,39100,Charge Point,ChargeZone,Private,CCS,105,825,Semi-Urban,Fast,16,547.87,121.35,66.48,5.85,8.77
Tamil Nadu,Chennai,59,18422,22713,47109,39243,18846,27063,47636,Power Station,EVRE,Private,CCS,312,826,Rural,Slow,24,613.1,155.11,95.1,7.13,5.22
Nagaland,Kohima,6457,29580,49739,33033,48575,16512,20334,44539,EV Hub,Ather Energy,Private,GB/T,40,827,Rural,Ultra Fast,3,601.07,279.09,167.75,2.03,9.8
Telangana,Hyderabad,21235,4676,23900,11332,25457,21625,38872,29711,FastCharge,BPCL,Public,Type 2,204,828,Semi-Urban,Fast,5,433.04,289.38,125.31,10.53,5.44
Bihar,Gaya,16887,23749,43888,36039,49488,26024,28596,48835,EV Hub,EVRE,Public,CCS,96,829,Semi-Urban,Ultra Fast,1,791.34,264.89,209.62,9.71,13.74
Chandigarh,Chandigarh,46773,33824,30882,20120,27366,28440,30358,36488,Green Charge,Ather Energy,Commercial,GB/T,203,830,Urban,Ultra Fast,3,697.78,369.04,257.51,24.06,4.9
Meghalaya,Shillong,34193,28698,12105,13104,39068,35572,42825,44031,Power Station,Tata Power,Public,CCS,88,831,Semi-Urban,Ultra Fast,34,563.96,143.68,81.03,6.66,6.14
Meghalaya,Shillong,33003,38517,40788,38135,15366,4411,3932,36291,FastCharge,Ather Energy,Private,CCS,257,832,Highway,Fast,19,502.94,222.83,112.07,3.24,5.31
Gujarat,Surat,14612,21867,12988,34593,16346,42207,17385,19223,FastCharge,EVRE,Commercial,GB/T,160,833,Rural,Fast,17,490.61,114.8,56.32,3.34,0.29
Kerala,Trivandrum,19600,10702,29876,19407,43401,7329,14609,19618,Green Charge,IOCL,Private,CCS,221,834,Semi-Urban,Fast,39,233.82,196.93,46.05,3.35,12.7
Ladakh,Leh,15351,1819,12129,42591,2590,24887,24701,46057,Charge Point,BPCL,Private,CHAdeMO,210,835,Highway,Fast,15,334.11,252.74,84.44,7.09,2.58
Telangana,Hyderabad,1287,31795,31313,7425,23626,25899,24731,47540,Power Station,IOCL,Private,CCS,275,836,Rural,Fast,5,796.46,197.85,157.58,6.49,6
Himachal Pradesh,Shimla,43199,44339,11226,23483,29628,47189,27671,2953,EV Hub,Tata Power,Private,Type 2,260,837,Highway,Slow,6,251.02,41.87,10.51,0.48,8.83
Chandigarh,Chandigarh,15908,5493,26349,14975,7488,13807,24880,12875,FastCharge,IOCL,Private,CHAdeMO,49,838,Semi-Urban,Slow,16,608.09,225.77,137.29,4.73,1.24
Tripura,Agartala,23571,44791,7794,18320,43206,33655,27020,1614,Green Charge,ChargeZone,Private,CCS,346,839,Highway,Slow,3,389.9,97.83,38.14,1.03,9
Nagaland,Kohima,7252,24936,19791,27178,32819,12362,29800,25217,EV Hub,Ather Energy,Commercial,CHAdeMO,298,840,Semi-Urban,Fast,34,669.39,78.96,52.86,0.97,9.32
Lakshadweep,Kavaratti,597,13265,14263,7454,34930,48104,48372,47737,Charge Point,ChargeZone,Private,Type 2,311,841,Highway,Slow,12,494.65,416.4,205.97,2.98,5.25
Gujarat,Surat,6849,41867,22735,6195,13172,26710,33084,12800,EV Hub,EVRE,Commercial,GB/T,229,842,Urban,Slow,6,339.32,250.45,84.98,4.35,7.97
Assam,Guwahati,34172,15381,30451,335,31514,42099,17286,22336,Green Charge,Fortum,Public,Type 2,296,843,Urban,Ultra Fast,40,500.7,84.97,42.54,2.58,11.64
Maharashtra,Pune,43083,35388,10899,42184,20944,48452,405,21113,EV Hub,Tata Power,Commercial,GB/T,206,844,Highway,Ultra Fast,9,443.45,371.35,164.68,15.56,2.96
Tripura,Agartala,38054,34880,1729,11224,16489,26082,27171,4221,Green Charge,Tata Power,Private,CHAdeMO,215,845,Semi-Urban,Ultra Fast,37,653.75,289.56,189.3,5.66,0.98
Andhra Pradesh,Vijayawada,36968,26921,46190,40627,4304,21826,24757,24221,Green Charge,BPCL,Commercial,GB/T,85,846,Rural,Fast,33,454.73,291.66,132.63,2.47,0.91
Uttar Pradesh,Kanpur,6621,22580,24442,20386,32255,39859,41326,26060,Charge Point,EVRE,Commercial,GB/T,279,847,Highway,Ultra Fast,46,655.42,470.57,308.42,21.67,10.99
Puducherry,Puducherry,46991,48821,17751,28745,15652,47427,20486,19515,Green Charge,Ather Energy,Public,CCS,310,848,Highway,Slow,28,729.67,283.66,206.98,13.46,9.3
Haryana,Gurgaon,362,47040,46149,48327,17307,38134,1541,37148,Charge Point,EVRE,Public,CCS,349,849,Highway,Slow,43,299.56,240.36,72,5.7,10.41
Ladakh,Leh,20471,34864,16087,571,47751,19723,14332,13315,Charge Point,Tata Power,Private,CCS,120,850,Rural,Fast,46,660.67,324.99,214.71,12.01,9.75
Andaman and Nicobar Islands,Port Blair,11990,45037,15957,44722,28709,47285,19684,24679,FastCharge,ChargeZone,Private,CHAdeMO,285,851,Rural,Slow,14,652.19,468.45,305.52,4.39,3.1
Mizoram,Aizawl,6476,34250,27710,23086,45991,9212,26389,10341,Green Charge,IOCL,Public,CHAdeMO,171,852,Semi-Urban,Fast,25,244.75,299.2,73.23,1.52,0.38
Ladakh,Leh,16013,29625,34011,36003,45074,23749,1593,13106,FastCharge,Tata Power,Public,CHAdeMO,312,853,Highway,Ultra Fast,18,547.42,53.4,29.23,0.4,0.76
West Bengal,Kolkata,20530,34258,3134,5382,33305,21809,36825,34734,FastCharge,BPCL,Public,CHAdeMO,39,854,Urban,Slow,13,260.51,375.41,97.8,1.27,11.63
Lakshadweep,Kavaratti,26872,32465,24605,22765,20165,20992,25688,10544,EV Hub,ChargeZone,Public,Type 2,148,855,Highway,Slow,28,360.01,443.78,159.77,2.5,3.28
Goa,Panaji,45800,4865,27793,1255,1229,42632,10937,27110,Power Station,Fortum,Private,CCS,23,856,Highway,Fast,36,568.87,35.31,20.09,1.3,11.44
Nagaland,Kohima,42756,14800,46565,45967,35831,36596,14819,13047,Power Station,IOCL,Private,Type 2,166,857,Urban,Fast,44,508.24,78.64,39.97,2.19,10.43
Maharashtra,Mumbai,36584,11457,23153,40622,8848,9697,3022,2253,Charge Point,EVRE,Private,Type 2,306,858,Highway,Slow,35,395.55,185.35,73.32,2.36,3.61
Jammu and Kashmir,Srinagar,31607,43381,41066,16464,12288,15945,9095,447,Green Charge,Fortum,Public,CCS,310,859,Rural,Slow,4,244.67,224.49,54.93,4.28,14.44
Chhattisgarh,Bhilai,49585,44118,12946,40008,11344,9572,40451,15827,Power Station,Tata Power,Public,Type 2,70,860,Urban,Slow,44,590.52,50.76,29.97,0.58,11.63
Assam,Silchar,47428,947,34961,38635,2847,33217,22746,19418,EV Hub,Tata Power,Commercial,CCS,44,861,Highway,Fast,46,347.04,351.18,121.87,4.83,1.47
Bihar,Gaya,45786,37986,13554,13289,2503,10288,7411,8612,Green Charge,ChargeZone,Public,Type 2,132,862,Urban,Fast,33,543.82,499.82,271.81,18.38,6.41
Chandigarh,Chandigarh,6315,36810,9304,48981,29786,38653,208,18495,Charge Point,BPCL,Public,CHAdeMO,30,863,Semi-Urban,Ultra Fast,33,499.13,75.37,37.62,1.67,5.02
Puducherry,Puducherry,34966,25959,41358,39957,4648,44194,17562,49412,Charge Point,IOCL,Commercial,GB/T,190,864,Highway,Fast,3,633.97,264.28,167.55,12.78,7.1
Goa,Panaji,29181,11627,30575,27464,47949,48386,43490,49137,Charge Point,BPCL,Commercial,GB/T,196,865,Urban,Fast,7,702.84,227.11,159.62,14.51,14.28
Goa,Margao,8156,45938,13180,48687,18147,13542,36917,47246,Power Station,Ather Energy,Commercial,GB/T,199,866,Rural,Slow,45,466.56,434.82,202.87,2.97,6.37
Goa,Panaji,10426,2698,47290,5576,5014,22488,16569,24878,EV Hub,Fortum,Public,GB/T,278,867,Semi-Urban,Ultra Fast,36,769.19,133.77,102.89,5.82,7.05
Haryana,Faridabad,19736,13591,6678,843,49853,18115,317,1440,FastCharge,BPCL,Commercial,Type 2,183,868,Rural,Ultra Fast,1,341.09,341.56,116.5,5.14,2.67
Sikkim,Gangtok,28786,24180,17155,31876,24866,38083,12950,44249,Power Station,BPCL,Public,GB/T,16,869,Semi-Urban,Slow,10,556.14,288.34,160.36,3.66,0.3
Himachal Pradesh,Shimla,22060,42290,47475,22848,5667,23468,11634,35789,EV Hub,EVRE,Private,GB/T,283,870,Urban,Fast,17,227.18,109.6,24.9,1.14,8.87
Puducherry,Puducherry,29077,19527,4671,16513,26018,22240,28560,20728,Charge Point,Ather Energy,Public,CHAdeMO,116,871,Rural,Slow,35,594.13,172.4,102.43,2.21,8.06
Chhattisgarh,Bhilai,32076,34191,10419,42121,47014,23332,14681,14135,Power Station,EVRE,Public,CHAdeMO,88,872,Urban,Ultra Fast,14,435.77,359.17,156.52,15.55,4.47
Manipur,Imphal,21817,40395,5335,15099,13346,44858,7467,20716,Green Charge,EVRE,Private,GB/T,155,873,Highway,Fast,46,554.61,321.65,178.39,8.98,11.38
Jammu and Kashmir,Jammu,33610,42889,27815,38726,10112,21554,38463,14654,EV Hub,Fortum,Private,Type 2,108,874,Semi-Urban,Ultra Fast,12,309.42,463.78,143.5,7.12,1.09
Jammu and Kashmir,Srinagar,29991,1754,1689,15066,11184,19161,24722,26808,FastCharge,BPCL,Public,CHAdeMO,196,875,Semi-Urban,Ultra Fast,27,223.43,218.29,48.77,4.28,7.5
Andhra Pradesh,Vijayawada,29303,11971,35526,3672,31535,10831,36442,32102,Charge Point,Tata Power,Public,Type 2,272,876,Semi-Urban,Ultra Fast,16,243.38,370.35,90.14,5.76,9.72
West Bengal,Kolkata,38259,15456,17427,19382,8274,40385,15283,335,Charge Point,EVRE,Commercial,GB/T,76,877,Urban,Slow,26,757.45,283.72,214.9,17.8,7.12
Andhra Pradesh,Vijayawada,6002,9767,19019,43694,38426,46650,32493,30552,Power Station,BPCL,Public,GB/T,300,878,Urban,Ultra Fast,29,795.97,21.32,16.97,0.58,11.45
Madhya Pradesh,Bhopal,6368,40513,39753,46674,18953,45017,49801,13891,Power Station,Ather Energy,Public,Type 2,162,879,Urban,Ultra Fast,46,549.54,240.93,132.4,2.73,3.55
Rajasthan,Jaipur,32415,10497,37725,37554,37912,8853,47659,48079,Charge Point,Ather Energy,Commercial,GB/T,271,880,Semi-Urban,Ultra Fast,25,249.52,473.29,118.1,8.81,13.86
Jharkhand,Ranchi,16984,13986,16070,2135,17917,44821,40223,2408,Charge Point,BPCL,Private,Type 2,332,881,Highway,Fast,34,478.9,493.94,236.55,13.42,3.68
Chhattisgarh,Bhilai,44806,16016,27812,26205,27602,6762,15349,26028,FastCharge,Ather Energy,Public,CCS,167,882,Highway,Slow,39,513.51,442.12,227.03,6.91,7.06
Kerala,Kochi,17366,37238,17818,49897,35957,34722,20246,35219,Power Station,ChargeZone,Private,CCS,54,883,Urban,Slow,25,625.55,383.63,239.98,15.23,13.82
Sikkim,Gangtok,33273,40417,29415,44783,33016,4064,20568,2804,Green Charge,ChargeZone,Commercial,CHAdeMO,246,884,Rural,Fast,8,579.89,307.44,178.28,16.71,10.07
Odisha,Cuttack,1450,45792,27761,31474,34346,13740,41978,36460,Power Station,Ather Energy,Private,CHAdeMO,48,885,Urban,Ultra Fast,41,343.71,280.55,96.43,4.93,2.25
Tamil Nadu,Coimbatore,22070,33144,15299,4156,20016,47699,34386,5173,Charge Point,Fortum,Private,GB/T,154,886,Highway,Ultra Fast,16,649.19,237.98,154.49,7.28,4.59
Andaman and Nicobar Islands,Port Blair,46885,5146,46141,9849,30602,36123,48425,16630,Power Station,Tata Power,Public,CCS,88,887,Semi-Urban,Ultra Fast,24,256.87,291.33,74.83,6.69,6.28
Uttar Pradesh,Noida,9991,11939,21482,36403,43845,33574,11367,18078,Green Charge,ChargeZone,Public,GB/T,168,888,Semi-Urban,Fast,43,290.59,390.7,113.53,5.05,0.86
Tamil Nadu,Coimbatore,36054,34634,43103,9590,11469,17516,42414,22763,Power Station,ChargeZone,Commercial,CCS,344,889,Semi-Urban,Ultra Fast,11,651.22,156.32,101.8,4.41,10.98
Uttar Pradesh,Noida,44688,41160,29614,4692,44861,36535,7268,45294,FastCharge,EVRE,Commercial,Type 2,208,890,Urban,Fast,4,701.95,267.64,187.87,18.54,1.43
Punjab,Ludhiana,27249,11873,21304,27010,33884,43775,39055,18740,EV Hub,ChargeZone,Commercial,GB/T,217,891,Urban,Fast,1,294.4,164.77,48.51,4.57,13.86
West Bengal,Kolkata,36470,43687,907,34955,37262,3746,34097,17264,Green Charge,EVRE,Commercial,CHAdeMO,67,892,Rural,Fast,4,300.23,237.58,71.33,5.55,7.51
Lakshadweep,Kavaratti,18136,30762,32036,40860,18434,3136,28433,47803,Green Charge,ChargeZone,Public,Type 2,106,893,Semi-Urban,Ultra Fast,19,732.01,99.05,72.51,2.65,1.16
Gujarat,Ahmedabad,24822,193,39691,40323,3311,31650,15169,28310,FastCharge,IOCL,Public,Type 2,147,894,Rural,Ultra Fast,33,653.76,295.04,192.89,16.94,3.54
Puducherry,Puducherry,8806,16859,26012,23708,32447,5859,47097,44670,EV Hub,IOCL,Commercial,GB/T,14,895,Urban,Fast,45,541.65,133.81,72.48,5.5,5.97
Lakshadweep,Kavaratti,9427,21235,45230,25823,39663,15682,1456,39894,Green Charge,EVRE,Public,CHAdeMO,169,896,Rural,Ultra Fast,30,399.84,413.36,165.28,6.43,2.24
Uttarakhand,Dehradun,44983,46513,48948,40190,21902,42971,28443,17930,Power Station,Fortum,Public,CCS,338,897,Rural,Slow,11,267.42,427.58,114.34,7.48,7.11
Delhi,New Delhi,45049,33770,16585,13376,9302,6747,48733,17140,Green Charge,ChargeZone,Public,Type 2,336,898,Rural,Slow,22,401.86,407.43,163.73,4.38,8.36
Assam,Guwahati,34527,47908,39910,37741,7268,23669,3159,26385,Green Charge,Ather Energy,Commercial,CCS,167,899,Semi-Urban,Ultra Fast,4,396.26,106.52,42.21,1.44,13.23
Andhra Pradesh,Vijayawada,5006,49503,44666,38815,12817,35258,46189,8698,Charge Point,ChargeZone,Commercial,Type 2,57,900,Semi-Urban,Ultra Fast,32,512.8,252.52,129.49,5.03,3.23
Mizoram,Aizawl,28904,24249,10326,18668,45246,34642,13577,44539,EV Hub,BPCL,Public,CCS,299,901,Highway,Ultra Fast,16,631.28,51.73,32.66,2.58,3.24
Chandigarh,Chandigarh,25814,30956,23497,8312,42719,8204,35032,22357,FastCharge,BPCL,Public,GB/T,20,902,Rural,Slow,20,376.26,214.36,80.66,3.18,12.04
Lakshadweep,Kavaratti,35347,25417,20601,33388,29561,963,17028,55,EV Hub,Ather Energy,Private,CCS,254,903,Urban,Slow,11,589.01,81.54,48.03,0.68,3.56
Rajasthan,Udaipur,3779,22070,28075,19056,22316,2738,38587,44710,Charge Point,Ather Energy,Public,Type 2,204,904,Semi-Urban,Slow,17,622.29,221.55,137.87,10.26,3.84
Telangana,Hyderabad,46682,35755,34869,23632,10068,4851,28122,34506,FastCharge,IOCL,Private,Type 2,44,905,Highway,Slow,14,625.45,295.79,185,10.5,0.96
Chandigarh,Chandigarh,46076,47097,18353,23409,12703,24677,7597,46611,Green Charge,IOCL,Public,Type 2,18,906,Semi-Urban,Ultra Fast,24,451.56,432.03,195.09,6.28,1.69
Meghalaya,Shillong,13725,26481,2537,44997,41964,2889,477,41793,Charge Point,Tata Power,Private,Type 2,165,907,Highway,Ultra Fast,32,440.23,384.35,169.2,2.44,5.87
Mizoram,Aizawl,31092,27831,12244,10524,45226,27302,26220,3241,EV Hub,Fortum,Commercial,CHAdeMO,268,908,Rural,Fast,15,574.08,39.47,22.66,0.5,7.66
Rajasthan,Jaipur,41873,32560,18579,43473,15224,38290,1176,8615,Green Charge,IOCL,Commercial,CCS,38,909,Urban,Ultra Fast,21,445.69,433.14,193.05,3.91,5.66
Nagaland,Kohima,23579,8246,47863,9203,26959,43520,46443,43830,EV Hub,Ather Energy,Public,CCS,248,910,Semi-Urban,Fast,18,478.82,70.98,33.99,1.82,2.17
Assam,Guwahati,40512,3201,33285,22949,21102,38908,16676,1763,Power Station,BPCL,Public,CCS,330,911,Rural,Fast,22,448.78,451.18,202.48,3.08,6.29
West Bengal,Kolkata,30740,36896,44560,18891,11720,48911,44328,26100,Power Station,ChargeZone,Public,GB/T,280,912,Highway,Fast,15,391.41,10.64,4.16,0.23,12.62
Andaman and Nicobar Islands,Port Blair,15794,37124,1573,13582,21793,8690,23810,12033,Green Charge,ChargeZone,Public,GB/T,335,913,Rural,Slow,14,257.27,289.06,74.37,5.84,4.94
Andhra Pradesh,Vijayawada,22264,30464,45341,42842,19584,4416,11886,1871,Green Charge,Fortum,Private,CHAdeMO,185,914,Urban,Ultra Fast,1,368.53,432.63,159.44,9.76,9.51
Tamil Nadu,Chennai,7293,17552,35255,9763,30244,7541,6741,35648,Green Charge,Fortum,Commercial,CHAdeMO,43,915,Semi-Urban,Fast,48,311.4,216.16,67.31,2.42,13.95
Mizoram,Aizawl,43504,20916,2456,27431,19704,17444,45333,22663,EV Hub,EVRE,Private,CHAdeMO,53,916,Semi-Urban,Ultra Fast,47,521.14,20.88,10.88,0.28,1.4
Arunachal Pradesh,Itanagar,38770,13482,44288,23756,39351,8153,24424,21181,Green Charge,Tata Power,Public,GB/T,96,917,Highway,Fast,24,273.25,185.42,50.67,4.3,5.31
Rajasthan,Udaipur,43533,49975,16578,16647,24416,36993,21692,30840,EV Hub,EVRE,Private,GB/T,195,918,Highway,Ultra Fast,42,788.75,326.05,257.17,16.09,4.41
Uttarakhand,Dehradun,49462,31602,13722,37503,1231,6342,24584,38442,FastCharge,BPCL,Private,CCS,126,919,Rural,Ultra Fast,12,457.37,476.22,217.81,20.52,10.71
Lakshadweep,Kavaratti,4230,38381,10650,625,46205,34985,23781,49847,EV Hub,EVRE,Public,GB/T,179,920,Urban,Ultra Fast,19,487.45,428.96,209.1,5.24,7.3
Assam,Silchar,48486,24200,9914,8676,25212,41574,17462,3222,Power Station,Tata Power,Public,CCS,174,921,Semi-Urban,Fast,11,408.14,68.5,27.96,0.89,14.66
Nagaland,Kohima,46062,34307,25633,27734,14772,12754,10144,25037,Green Charge,Tata Power,Public,CCS,260,922,Highway,Ultra Fast,47,477,414.79,197.85,7.74,3.92
Telangana,Hyderabad,37826,4613,5908,8007,4007,22373,31113,43643,Power Station,Fortum,Public,CHAdeMO,44,923,Rural,Ultra Fast,5,391.32,310.92,121.67,8.14,8.78
Andaman and Nicobar Islands,Port Blair,9688,29575,5377,23172,11793,39737,39192,24334,Green Charge,Fortum,Commercial,GB/T,158,924,Urban,Ultra Fast,40,725.04,269.84,195.64,17.52,12.47
Karnataka,Bangalore,16227,29612,5292,16565,46784,11471,11453,37960,Green Charge,Ather Energy,Public,GB/T,247,925,Urban,Ultra Fast,16,520.04,413.87,215.23,17.24,9.5
Haryana,Gurgaon,2396,21623,4908,39345,38559,31594,28213,23434,EV Hub,IOCL,Private,CHAdeMO,117,926,Semi-Urban,Slow,44,596.24,119.35,71.16,6.34,0.21
Jharkhand,Jamshedpur,5701,39432,23240,42387,7744,38296,12438,33955,Power Station,IOCL,Public,CCS,42,927,Semi-Urban,Slow,1,586.04,439.71,257.69,22.8,14.7
Assam,Guwahati,6817,30627,15352,2334,46276,41579,23030,758,Charge Point,IOCL,Private,GB/T,255,928,Highway,Slow,8,279.56,284.26,79.47,4.15,1.87
Andhra Pradesh,Vijayawada,7638,35312,40522,42893,9918,8533,13964,21493,EV Hub,ChargeZone,Public,Type 2,174,929,Semi-Urban,Ultra Fast,29,316.58,419.68,132.86,12.18,4.73
Karnataka,Bangalore,4439,34301,26792,20226,44095,35505,40983,47792,FastCharge,Fortum,Commercial,Type 2,41,930,Urban,Fast,37,487.74,234.53,114.39,7.6,8.22
Gujarat,Vadodara,46496,5149,46507,36524,18795,13461,19605,23640,EV Hub,EVRE,Commercial,CHAdeMO,75,931,Semi-Urban,Slow,19,293.82,303.68,89.23,5.35,8.2
Andaman and Nicobar Islands,Port Blair,3195,46712,3337,19219,43551,35726,43462,8575,FastCharge,Ather Energy,Public,CCS,207,932,Semi-Urban,Slow,10,699.9,338.39,236.84,22.66,10.87
Puducherry,Puducherry,7706,13232,37434,17887,44312,37971,1743,14798,FastCharge,Ather Energy,Commercial,CCS,309,933,Rural,Slow,39,671.24,152.89,102.63,6.82,2.57
Uttar Pradesh,Kanpur,23427,29376,45603,41765,15224,42533,12366,45320,EV Hub,ChargeZone,Commercial,CHAdeMO,175,934,Rural,Ultra Fast,1,633.07,279.46,176.92,3.39,2.02
Delhi,New Delhi,3503,23130,41753,35801,5252,16439,43196,2247,Charge Point,Tata Power,Private,Type 2,176,935,Semi-Urban,Fast,2,645.98,226.62,146.39,13.98,2.14
Delhi,New Delhi,25738,34653,5117,34929,15389,15614,1308,29194,Green Charge,ChargeZone,Private,CCS,147,936,Highway,Ultra Fast,47,298.73,98.58,29.45,1.29,11.68
Chhattisgarh,Raipur,22934,30029,48321,681,42247,49156,5552,39973,FastCharge,Fortum,Public,CHAdeMO,70,937,Rural,Ultra Fast,4,431.3,148.39,64,4.29,4.07
Rajasthan,Jaipur,34608,41452,49462,6242,7037,23182,4072,33741,Power Station,Tata Power,Public,Type 2,301,938,Semi-Urban,Ultra Fast,39,398.51,358.47,142.85,7.42,14.39
Mizoram,Aizawl,38191,184,29642,4058,20829,27996,14197,38094,FastCharge,EVRE,Commercial,CHAdeMO,12,939,Semi-Urban,Ultra Fast,24,276.61,61.06,16.89,1.2,2.55
Tamil Nadu,Chennai,38738,15570,39653,22721,14710,8818,41479,14366,FastCharge,EVRE,Public,CCS,197,940,Semi-Urban,Fast,26,427.79,260.51,111.44,1.59,1.12
Madhya Pradesh,Indore,39878,35997,47541,33667,37350,14156,2434,33397,Green Charge,ChargeZone,Private,GB/T,99,941,Semi-Urban,Fast,44,434.85,264.7,115.1,10.32,10.94
Tamil Nadu,Chennai,34799,26314,44899,5544,18111,28282,30882,43693,Power Station,Tata Power,Private,CCS,253,942,Semi-Urban,Fast,32,760.95,171.36,130.4,10.19,7.39
Uttarakhand,Dehradun,10208,33136,28098,221,27987,21376,26849,24996,FastCharge,BPCL,Commercial,CHAdeMO,188,943,Highway,Ultra Fast,22,452.25,217.64,98.43,8.74,9.14
Rajasthan,Jaipur,4084,39852,3375,31542,17078,33487,1851,1102,Charge Point,Fortum,Commercial,CHAdeMO,238,944,Highway,Ultra Fast,7,702.62,87.15,61.23,2.9,12.56
Uttarakhand,Dehradun,38100,24109,41186,32503,41044,30146,20942,11622,FastCharge,ChargeZone,Public,GB/T,49,945,Semi-Urban,Slow,35,327.75,78.15,25.61,1.31,0.62
Uttar Pradesh,Noida,17037,11447,48905,9979,47144,13217,40891,5138,Green Charge,ChargeZone,Commercial,CHAdeMO,345,946,Rural,Fast,43,532.65,181.87,96.87,8.03,10.72
Uttarakhand,Dehradun,9463,20085,4668,24829,48025,22803,26316,107,FastCharge,Fortum,Commercial,Type 2,244,947,Rural,Slow,39,677.78,300.43,203.63,9.65,11
Andhra Pradesh,Guntur,26085,43268,25010,29165,38953,7140,45627,13193,Green Charge,Ather Energy,Private,CHAdeMO,91,948,Urban,Ultra Fast,2,492.02,321.94,158.4,14.28,12.4
Karnataka,Bangalore,16977,19127,24011,28810,43456,1625,33907,14682,Green Charge,ChargeZone,Public,CCS,274,949,Semi-Urban,Ultra Fast,5,559.56,140.43,78.58,3.61,0.51
Odisha,Bhubaneswar,19893,26744,6370,44204,40752,20808,28787,17662,FastCharge,ChargeZone,Private,CCS,308,950,Rural,Slow,31,519.24,428.03,222.25,2.56,1.01
Tamil Nadu,Coimbatore,36486,9897,32693,19975,13422,19489,42059,42705,EV Hub,Tata Power,Private,CHAdeMO,132,951,Semi-Urban,Ultra Fast,41,227.39,337.45,76.73,2.76,1.06
Bihar,Patna,2362,43725,20790,1882,28539,33324,11915,20241,Charge Point,BPCL,Public,Type 2,222,952,Rural,Ultra Fast,3,335.95,134.4,45.15,3.66,1.86
Mizoram,Aizawl,15467,25506,49242,600,45298,44339,23326,33873,EV Hub,Tata Power,Commercial,GB/T,22,953,Semi-Urban,Ultra Fast,23,561.9,86.81,48.78,1.3,1.84
Bihar,Patna,1363,31423,27644,23354,48170,5053,32706,8901,Green Charge,Fortum,Private,Type 2,183,954,Rural,Slow,12,597.65,454.44,271.6,7.05,3.07
Andhra Pradesh,Vijayawada,25658,3965,5584,39881,36467,38270,24641,26128,FastCharge,Fortum,Public,Type 2,271,955,Urban,Fast,45,613.04,331.37,203.14,5.36,1.56
Odisha,Bhubaneswar,27763,36521,4289,16952,46621,18911,42652,47052,Green Charge,IOCL,Public,CHAdeMO,181,956,Semi-Urban,Fast,39,712.08,61.69,43.93,1.73,13.92
Lakshadweep,Kavaratti,13128,13153,14685,32075,4269,32723,44956,35442,FastCharge,Ather Energy,Public,GB/T,298,957,Urban,Slow,47,257.87,338.45,87.28,5.38,11.46
Madhya Pradesh,Indore,8444,19080,6072,22442,27541,46498,28601,41871,FastCharge,EVRE,Private,CHAdeMO,316,958,Highway,Ultra Fast,22,457.14,79.3,36.25,1.38,7.2
Chhattisgarh,Raipur,24579,12815,17152,47067,39631,10359,33737,30121,Green Charge,IOCL,Private,GB/T,285,959,Semi-Urban,Ultra Fast,7,490.45,331.2,162.44,9.32,6.93
Uttar Pradesh,Noida,14675,47808,11339,1377,25949,11625,9363,47111,Green Charge,Ather Energy,Private,Type 2,53,960,Rural,Fast,2,697.84,48.73,34.01,0.43,0.68
Sikkim,Gangtok,7009,9062,34222,44696,2231,1130,29375,45990,Green Charge,BPCL,Private,CHAdeMO,60,961,Highway,Ultra Fast,26,778.84,398.11,310.06,19.81,1.27
Puducherry,Puducherry,26656,32358,11442,11338,28403,39701,1790,49762,Green Charge,Tata Power,Public,GB/T,181,962,Urban,Fast,1,344.35,108.06,37.21,1.37,2.77
Bihar,Patna,29236,36377,37729,7261,37502,16188,28156,29093,Green Charge,IOCL,Public,CHAdeMO,53,963,Highway,Ultra Fast,18,700.82,87.59,61.38,3.69,0.97
Chandigarh,Chandigarh,20380,34576,8919,40576,20770,9511,5769,18527,EV Hub,Fortum,Private,GB/T,348,964,Urban,Fast,15,537.16,85.24,45.79,1.91,0.61
Gujarat,Surat,7785,8166,14888,35719,3293,29379,35684,29075,Charge Point,Tata Power,Commercial,CCS,176,965,Urban,Ultra Fast,23,266.12,132.24,35.19,3.23,5.92
Goa,Panaji,38938,48242,20431,29269,31214,40015,27954,15119,EV Hub,ChargeZone,Private,CHAdeMO,310,966,Highway,Slow,5,611.08,35.88,21.93,2.04,11.05
Bihar,Patna,35960,4131,12868,24324,9895,37042,40790,23277,EV Hub,IOCL,Public,CCS,250,967,Semi-Urban,Ultra Fast,39,576.29,94.4,54.4,4.13,3.08
Meghalaya,Shillong,12842,43664,23829,19942,39146,38684,42215,46396,FastCharge,EVRE,Public,GB/T,92,968,Highway,Ultra Fast,4,256.84,167.93,43.13,2.85,8.55
